name,launchDate,origin,duration,type,description,employmentRequirements,age,minimumYearsOfExperience,qualification,occupations,languageRequired,cargoFor,cargoRequired,quantityRequired,countriesAllowed
IceBridge,30/09/2022,Austria,31,infrastructure,Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede| ultrices a| auctor non| feugiat nec| diam. Duis mi enim| condimentum eget| volutpat ornare| facilisis eget| ipsum. Donec,Builder | Conractor| Supervisor,24-50,5yr,ME,general practitioner,english|,For Journey,concrete| desserts| water,51,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Suomi NPP,28/10/2022,Austria,29,agriculture,nec| imperdiet nec| leo. Morbi neque tellus| imperdiet non| vestibulum nec| euismod in| dolor. Fusce feugiat. Lorem ipsum dolor sit amet| consectetuer adipiscing elit. Aliquam auctor| velit,Feedlot Supervisor | Farm Manager,18-32,10yr,MDS,manufacturer,english|hausa| bengali| telugu,For the mission,chicken,391,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Aura,8/09/2025,United Kingdom,88,infrastructure,turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit,Builder | Conractor| Supervisor,24-50,5yr,BDS,painter,english|punjabi| mandarin| french,For other mission,soups,57,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
SOFIA,1/02/2023,Austria,56,agriculture,pretium et| rutrum non| hendrerit id| ante. Nunc mauris sapien| cursus in| hendrerit consectetuer| cursus et| magna. Praesent interdum ligula eu enim. Etiam imperdiet,Feedlot Supervisor | Farm Manager,24-50,9yr,MS,designer,english|javanese,For Journey,soups| pies,217,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
FUSE,26/04/2021,United States,84,infrastructure,dis parturient montes| nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus| lorem fringilla,Builder | Conractor| Supervisor,24-50,4yr,MBA,surgeon,english|,For the mission,desserts| cereals| sandwiches| surgical,24,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
SDO (Solar Dynamics Observatory),22/07/2024,United States,95,agriculture,mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non,Feedlot Supervisor | Farm Manager,18-50,1yr,BDS,surgeon,english|arabic,For other mission,concrete| pasta,153,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
IRIS (Interface Region Imaging Spectrograph),19/07/2025,Austria,86,infrastructure,et| euismod et| commodo at| libero. Morbi accumsan laoreet ipsum. Curabitur consequat| lectus sit amet luctus vulputate| nisi sem semper erat| in consectetuer,Builder | Conractor| Supervisor,24-50,1yr,MIT,electrician,english|,For Journey,desserts,471,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Wide-Field Infrared Survey Explorer (WISE),25/05/2023,United Kingdom,37,agriculture,blandit enim consequat purus. Maecenas libero est| congue a| aliquet vel| vulputate eu| odio. Phasellus at augue id ante dictum cursus. Nunc mauris elit| dictum eu| eleifend nec| malesuada,Feedlot Supervisor | Farm Manager,24-50,2yr,MS,nurse,english|bengali| hausa,For the mission,pasta| surgical,114,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
CINDI,2/07/2024,Austria,52,infrastructure,non| vestibulum nec| euismod in| dolor. Fusce feugiat. Lorem ipsum dolor sit amet| consectetuer adipiscing elit. Aliquam auctor| velit eget laoreet posuere| enim nisl elementum purus| accumsan interdum libero dui,Builder | Conractor| Supervisor,18-32,7yr,BE,electrician,english|greek| russian,For other mission,,481,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
TESS (Transiting Exoplanet Survey Satellite),26/12/2023,United Kingdom,34,agriculture,Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt| neque vitae semper egestas| urna justo faucibus lectus| a sollicitudin orci,Feedlot Supervisor | Farm Manager,24-50,8yr,MBBS,surgeon,english|russian| arabic,For Journey,,277,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Low-Boom Flight Demonstration,8/04/2022,India,48,infrastructure,orci luctus et ultrices posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque,Builder | Conractor| Supervisor,24-50,3yr,BE,carpenter,english|,For the mission,seafood,436,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Solar Orbiter Collaboration,17/02/2021,Canada,65,agriculture,Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis,Feedlot Supervisor | Farm Manager,24-45,10yr,ME,electrician,english|,For other mission,cereals| stews,339,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Skylab,8/07/2021,Russian Federation,70,infrastructure,ullamcorper| nisl arcu iaculis enim| sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede| ultrices a| auctor non| feugiat,Builder | Conractor| Supervisor,18-50,5yr,MDS,electrician,english|portugese| russian| punjabi,For Journey,,42,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Fermi Gamma-ray Space Telescope,8/04/2025,Austria,89,agriculture,massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat,Feedlot Supervisor | Farm Manager,24-45,9yr,BDS,nurse,english|,For the mission,surgical,116,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Astro-E2 (Suzaku),21/12/2022,United Kingdom,30,infrastructure,congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue| elit sed consequat auctor| nunc nulla vulputate dui|,Builder | Conractor| Supervisor,24-50,5yr,MS,carpenter,english|hausa| mandarin| italian,For other mission,pies| noodles,436,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Neutron star Interior Composition Explorer (NICER),26/03/2024,Canada,34,agriculture,Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem| auctor quis| tristique,Builder | Conractor| Supervisor,24-45,5yr,MBA,nurse,english|,For Journey,stews| concrete,455,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
InSight,7/12/2023,Australia,62,infrastructure,tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed,Builder | Conractor| Supervisor,24-45,7yr,BDS,builder,english|bengali| greek| french,For the mission,,485,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Tropical Rainfall Measuring Mission (TRMM),14/03/2023,Austria,52,agriculture,nisl sem| consequat nec| mollis vitae| posuere at| velit. Cras lorem lorem| luctus ut| pellentesque eget| dictum placerat| augue. Sed molestie. Sed id risus quis,Feedlot Supervisor | Farm Manager,18-50,4yr,MIT,designer,english|,For other mission,seeds| surgical| soups| wood,427,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Perseverance Rover,24/09/2025,Austria,83,infrastructure,Ut tincidunt orci quis lectus. Nullam suscipit| est ac facilisis facilisis| magna tellus faucibus leo| in,Builder | Conractor| Supervisor,24-50,6yr,MS,,english|javanese,For Journey,cereals| surgical| pasta| noodles,478,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
